name,college,height,weight,vert,broad,bench,shuttle,cone,10yd,20yd,40yd,season,position
DeAndre Washington,Texas Tech,68.25,204,34.5,118,24,4.2,7.03,1.55,2.61,4.49,2016,RB
Brandon Wilds,South Carolina,72.75,220,36.5,118,21,4.33,7.08,1.58,2.62,4.54,2016,RB
Jonathan Williams,Arkansas,70.75,220,,,16,,,,,,2016,RB
Chris Carson,Oklahoma State,72.25,218,37,130,23,,,1.6,2.66,4.58,2017,RB
Corey Clement,Wisconsin,70.25,220,28.5,115,19,,,1.62,2.71,4.68,2017,RB
Tarik Cohen,North Carolina AT,66.375,179,31.5,118,11,,,1.54,2.59,4.42,2017,RB
James Conner,Pittsburgh,73.25,233,29,113,20,,,1.63,2.69,4.65,2017,RB
Dalvin Cook,Florida State,71.125,210,30.5,116,22,4.53,7.27,1.59,2.63,4.49,2017,RB
Justin Davis,Southern California,72.625,208,,,21,,,,,,2017,RB
Matthew Dayes,North Carolina State,68.625,205,28,109,18,,,,,,2017,RB
DOnta Foreman,Texas,72.25,233,,,18,,,,,,2017,RB
Leonard Fournette,LSU,72.125,240,28.5,,,,,1.59,2.65,4.51,2017,RB
Wayne Gallman,Clemson,72.25,215,29.5,120,21,4.28,7.17,1.6,2.67,4.57,2017,RB
DeAngelo Henderson,Coastal Carolina,67.5,208,34,120,20,,,1.53,2.58,4.48,2017,RB
Brian Hill,Wyoming,72.625,219,34,125,15,4.32,7.03,1.62,2.65,4.54,2017,RB
Elijah Hood,North Carolina,71.75,232,,,18,,,,,,2017,RB
Kareem Hunt,Toledo,70.5,216,36.5,119,18,,,1.59,2.67,4.62,2017,RB
Aaron Jones,Texas-El Paso,69.125,208,37.5,127,16,4.2,6.82,1.51,2.57,4.49,2017,RB
Alvin Kamara,Tennessee,69.75,214,39.5,131,15,,,1.55,2.61,4.53,2017,RB
T.J. Logan,North Carolina,69.125,196,33.5,121,17,,,1.57,2.59,4.37,2017,RB
Marlon Mack,South Florida,70.75,213,35.5,125,15,,,1.55,2.61,4.5,2017,RB
Christian McCaffrey,Stanford,71.25,202,37.5,121,10,4.22,6.57,1.55,2.6,4.48,2017,RB
Elijah McGuire,Louisiana,69.75,214,36,120,15,4.56,7.26,1.61,2.65,4.52,2017,RB
Jeremy McNichols,Boise State,68.625,214,35.5,121,,4.28,6.93,1.55,2.62,4.49,2017,RB
Dare Ogunbowale,Wisconsin,70.75,213,35,120,14,4.34,6.99,1.62,2.72,4.65,2017,RB
Samaje Perine,Oklahoma,70.625,233,33,116,30,4.37,7.26,1.62,2.7,4.65,2017,RB
Donnel Pumphrey,San Diego State,68.25,176,33.5,117,5,,,1.54,2.61,4.48,2017,RB
Devine Redding,Indiana,68.25,205,30.5,116,16,4.46,7.18,1.63,2.78,4.76,2017,RB
Rushel Shell III,West Virginia,69.625,227,32.5,,21,,,1.71,2.81,4.74,2017,RB
DeVeon Smith,Michigan,70.875,223,29,108,22,4.56,7.3,,,,2017,RB
Jahad Thomas,Temple,69.625,190,32,116,11,,,1.59,2.7,4.62,2017,RB
Stanley Williams,Kentucky,67.125,190,36,121,18,4.18,6.86,1.58,2.6,4.43,2017,RB
Joe Williams,Utah,70.75,210,35,125,14,4.19,7.19,1.58,2.62,4.41,2017,RB
Jamaal Williams,Brigham Young,72,212,30,123,,4.53,7.25,1.6,2.68,4.59,2017,RB
Josh Adams,Notre Dame,73.625,213,,,18,,,,,,2018,RB
Kalen Ballage,Arizona State,73.5,228,33.5,122,15,4.35,6.91,1.54,2.61,4.46,2018,RB
Saquon Barkley,Penn State,72,233,41,,29,4.24,,1.54,2.57,4.4,2018,RB
Nick Chubb,Georgia,70.875,227,38.5,128,29,4.25,7.09,1.62,2.67,4.52,2018,RB
Lavon Coleman,Washington,70.75,215,33,120,23,,,1.61,2.71,4.65,2018,RB
Justin Crawford,West Virginia,71.375,199,33.5,122,11,,,1.62,2.71,4.64,2018,RB
Chase Edmonds,Fordham,69.125,205,34,122,19,4.07,6.79,1.58,2.66,4.55,2018,RB
Quinton Flowers,South Florida,70.375,214,,112,,4.57,6.81,1.58,2.7,4.63,2018,RB
Jarvion Franklin,Western Michigan,71.5,239,30,109,18,4.31,6.93,1.6,2.68,4.63,2018,RB
Royce Freeman,Oregon,71.5,229,34,118,17,4.16,6.9,1.6,2.66,4.54,2018,RB
Derrius Guice,LSU,70.5,224,31.5,,15,,,1.55,2.62,4.49,2018,RB
Kyle Hicks,Texas Christian,69.625,204,36.5,122,13,,,1.59,2.67,4.63,2018,RB
Nyheim Hines,North Carolina State,68.375,198,35.5,119,,4.35,7.18,1.52,2.55,4.38,2018,RB
Justin Jackson,Northwestern,71.625,199,38.5,122,13,4.07,6.81,1.57,2.62,4.5,2018,RB
Kerryon Johnson,Auburn,71.5,213,40,126,11,4.29,7.07,,,,2018,RB
Ronald Jones II,Southern California,71,205,36.5,,,,,,,,2018,RB
John Kelly,Tennessee,69.875,216,35,120,15,4.51,7.13,,,,2018,RB
Sony Michel,Georgia,70.625,214,,,22,4.21,,1.56,2.62,4.54,2018,RB
Rashaad Penny,San Diego State,71,220,32.5,120,13,,,1.58,2.63,4.46,2018,RB
Kamryn Pettway,Auburn,71.75,233,33.5,116,22,,,1.64,2.72,4.74,2018,RB
Demario Richard,Arizona State,68.75,218,29.5,115,12,,,1.66,2.76,4.7,2018,RB
Bo Scarbrough,Alabama,73.375,228,40,129,14,4.34,,1.56,2.65,4.52,2018,RB
Roc Thomas,Jacksonville State,70.125,198,35.5,125,16,,,1.64,2.68,4.56,2018,RB
Akrum Wadley,Iowa,69.875,194,32,,12,,,1.56,2.64,4.54,2018,RB
Mark Walton,Miami (FL),69.625,202,31.5,118,18,,,1.57,2.64,4.6,2018,RB
Chris Warren III,Texas,74,247,33,121,25,4.18,6.98,1.66,2.74,4.69,2018,RB
Jordan Wilkins,Mississippi,72.625,216,36,117,16,4.27,,,,4.71,2018,RB
Darrel Williams,LSU,71.625,225,32,109,22,4.21,,1.61,2.71,4.72,2018,RB
Jeffrey Wilson,North Texas,71.875,208,,,15,,,,,,2018,RB
Rodney Anderson,Oklahoma,72.375,224,,,25,,,,,,2019,RB
Ryquell Armstead,Temple,71.25,220,30,114,22,4.29,7.02,1.57,2.61,4.45,2019,RB
Alex Barnes,Kansas State,72.375,226,38.5,126,34,4.1,6.95,1.57,2.68,4.59,2019,RB
Nick Brossette,LSU,71.25,210,35.5,118,15,4.44,7.38,1.66,2.69,4.72,2019,RB
Myles Gaskin,Washington,69.25,205,35.5,118,24,4.27,7.19,1.58,2.68,4.58,2019,RB
Damien Harris,Alabama,70.125,216,37,121,16,,,1.61,2.71,4.57,2019,RB
Darrell Henderson,Memphis,68.375,208,33.5,121,22,,,1.42,2.48,4.53,2019,RB
Karan Higdon,Michigan,69.125,206,34,123,21,,,1.56,2.61,4.49,2019,RB
Justice Hill,Oklahoma State,69.625,198,40,130,21,,,1.56,2.6,4.4,2019,RB
Elijah Holyfield,Georgia,70.375,215,29.5,118,26,,,1.69,2.79,4.78,2019,RB
Travis Homer,Miami (FL),70.375,201,39.5,130,17,4.31,7.07,1.57,2.61,4.48,2019,RB
Josh Jacobs,Alabama,70,220,,,,,,,,,2019,RB
Bryce Love,Stanford,68.875,200,,,18,,,,,,2019,RB
Alexander Mattison,Boise State,70.875,218,35,127,22,4.29,7.13,1.61,2.71,4.67,2019,RB
David Montgomery,Iowa State,70.125,222,28.5,121,15,,,1.61,2.7,4.63,2019,RB
Jalin Moore,Appalachian State,70,207,,,27,,,,,,2019,RB
Qadree Ollison,Pittsburgh,72.625,228,29.5,114,19,4.31,7.53,1.63,2.68,4.58,2019,RB
Miles Sanders,Penn State,70.625,211,36,124,20,4.19,6.89,1.57,2.61,4.49,2019,RB
Jordan Scarlett,Florida,70.375,207,30,116,21,4.63,7.37,1.58,2.61,4.47,2019,RB
LJ Scott,Michigan State,72.375,227,33,120,21,4.34,7.27,,,,2019,RB
Devin Singletary,Florida Atlantic,67.625,203,35,117,15,4.4,7.32,1.64,2.73,4.66,2019,RB
Benny Snell Jr.,Kentucky,70.375,225,29.5,119,16,4.33,7.07,1.65,2.73,4.66,2019,RB
Mike Weber,Ohio State,69.625,211,33.5,,22,,,1.54,2.61,4.47,2019,RB
James Williams,Washington State,69.5,197,36.5,118,,4.25,7.01,1.59,2.65,4.58,2019,RB
Dexter Williams,Notre Dame,71.125,212,36,130,17,4.16,7,1.61,2.67,4.57,2019,RB
Trayveon Williams,Texas AM,68.125,206,33,121,19,4.44,7.44,1.58,2.63,4.51,2019,RB
Salvon Ahmed,Washington,70.875,197,34.5,120,,,,1.61,2.69,4.62,2020,RB
Cam Akers,Florida State,70.375,217,35.5,122,20,4.42,,1.47,2.62,4.47,2020,RB
Darius Anderson,Texas Christian,70.5,208,36,128,19,4.19,,1.57,2.72,4.61,2020,RB
LeVante Bellamy,Western Michigan,68.875,192,39.5,125,16,,,1.58,2.67,4.5,2020,RB
Eno Benjamin,Arizona State,68.875,207,39,122,12,4.25,6.97,1.62,2.69,4.57,2020,RB
Raymond Calais,Louisiana,67.875,188,37.5,120,20,,,1.56,2.6,4.42,2020,RB
DeeJay Dallas,Miami (FL),70.125,217,33.5,119,,4.32,7.18,1.63,2.68,4.58,2020,RB
AJ Dillon,Boston College,72.375,247,41,131,23,,7.19,1.64,2.69,4.53,2020,RB
J.K. Dobbins,Ohio State,69.5,209,,,23,,,,,,2020,RB
Rico Dowdle,South Carolina,71.25,213,38,127,,,,1.62,2.68,4.54,2020,RB
Clyde Edwards-Helaire,LSU,67.25,207,39.5,123,15,,,1.6,2.68,4.6,2020,RB
Darrynton Evans,Appalachian State,70.125,203,37,125,20,,,1.58,2.6,4.41,2020,RB
Antonio Gibson,Memphis,72.375,228,35,118,16,,,1.55,2.57,4.39,2020,RB
JaMycal Hasty,Baylor,68,205,39,123,15,4.03,,1.61,2.67,4.55,2020,RB
Brian Herrien,Georgia,71.125,209,38.5,126,18,4.4,7.12,1.62,2.7,4.62,2020,RB
Tony Jones Jr,Notre Dame,70.5,220,32.5,119,13,4.21,7.18,1.61,2.72,4.68,2020,RB
Joshua Kelley,UCLA,70.625,212,31,121,23,4.28,6.95,1.61,2.65,4.49,2020,RB
Javon Leake,Maryland,72.125,215,34,125,,,,1.7,2.75,4.65,2020,RB
Benny LeMay,Charlotte,68.125,221,28.5,112,24,,,1.71,2.8,4.75,2020,RB
Anthony McFarland Jr.,Maryland,68.125,208,29.5,116,,,,1.59,2.65,4.44,2020,RB
Zack Moss,Utah,69.375,223,33,,19,4.37,,1.67,2.78,4.65,2020,RB
Lamical Perine,Florida,70.75,216,35,118,22,4.31,7.13,1.66,2.74,4.62,2020,RB
Malcolm Perry,Navy,69.5,186,36,122,10,4.31,7.12,1.7,2.75,4.63,2020,RB
Scottie Phillips,Mississippi,68,209,30,114,29,4.53,7.4,1.6,2.68,4.56,2020,RB
James Robinson,Illinois State,69,219,40,125,24,4.19,7.03,1.61,2.71,4.64,2020,RB
DAndre Swift,Georgia,68.25,212,35.5,121,,,,1.59,2.64,4.48,2020,RB
Jonathan Taylor,Wisconsin,70.25,226,36,123,17,4.24,7.01,1.54,2.56,4.39,2020,RB
J.J. Taylor,Arizona,65.25,185,34.5,118,19,4.15,7,1.59,2.7,4.61,2020,RB
Patrick Taylor Jr.,Memphis,73.5,217,34,123,15,4.34,,1.59,2.69,4.57,2020,RB
KeShawn Vaughn,Vanderbilt,69.625,214,32,117,,,,1.62,2.66,4.51,2020,RB
Michael Warren II,Cincinnati,69.125,226,,,16,,,,,,2020,RB
Sean Berton,North Carolina State,76.375,279,31,107,,4.35,7.18,1.72,2.92,5.04,2003,TE
Dallas Clark,Iowa,75.375,257,37.5,123,,,,,,,2003,TE
Dan Curley,Eastern Washington,76,254,35.5,118,17,4.53,7.47,1.58,2.73,4.66,2003,TE
Zach Hilton,North Carolina,79.75,262,35,112,24,4.33,7.26,1.71,2.82,4.86,2003,TE
Robert Johnson,Auburn,77.625,278,33.5,115,18,4.47,7.15,1.71,2.93,4.96,2003,TE
Bennie Joppru,Michigan,76.25,272,30.5,109,19,,,,,,2003,TE
Donald Lee,Mississippi State,75.25,249,39,120,26,4.42,7.42,1.67,2.81,4.82,2003,TE
Spencer Nead,Brigham Young,76.5,259,28.5,102,19,4.34,7.37,1.67,2.83,4.88,2003,TE
Mike Pinkard,Arizona State,76.875,259,35,,,,,,,,2003,TE
Gabe Reid,Brigham Young,75.375,255,37,119,23,4.32,7.49,1.66,2.79,4.83,2003,TE
Mike Seidman,UCLA,76.5,261,,,20,,,,,,2003,TE
Visanthe Shiancoe,Morgan State,76.375,251,39.5,120,28,4.31,7.09,1.62,2.71,4.68,2003,TE
L.J. Smith,Rutgers,75.25,258,37,122,26,4.25,6.74,1.65,2.74,4.65,2003,TE
Trent Smith,Oklahoma,77.125,243,35.5,118,16,4.37,7.23,1.76,2.84,4.84,2003,TE
Erick Streelman,Nevada,77.125,248,30,109,9,4.4,7.59,1.76,2.97,5.07,2003,TE
Ray Thomas,Wake Forest,76.375,248,31,113,17,4.53,7.47,1.72,2.9,5,2003,TE
Aaron Walker,Florida,77.625,252,33.5,115,24,4.3,7.57,1.7,2.81,4.73,2003,TE
Kevin Ware,Washington,74.875,256,34,110,22,4.47,7.52,1.6,2.79,4.82,2003,TE
Jason Witten,Tennessee,77.75,264,31,,25,,,,,,2003,TE
George Wrighster,Oregon,74.125,249,34.5,115,16,,7.24,,,,2003,TE
Doug Zeigler,Mississippi,75.625,257,,,20,,,,,,2003,TE
Courtney Anderson,San Jose State,78.25,269,30,106,17,4.45,7.86,1.7,2.84,4.83,2004,TE
Bobby Blizzard,North Carolina,76,266,,102,12,,,1.81,2.97,,2004,TE
Chris Cooley,Utah State,75.5,265,33,115,22,4.19,7.21,1.65,2.77,4.89,2004,TE
Jeff Dugan,Maryland,76.375,263,28,109,21,4.32,7.4,1.68,2.82,4.95,2004,TE
Tim Euhus,Oregon State,77,260,34.5,115,25,4.13,6.99,1.71,2.88,4.94,2004,TE
J.P. Foschi,Georgia Tech,75.875,266,30.5,111,24,4.35,7.49,1.78,2.94,5.03,2004,TE
Michael Gaines,Central Florida,74,275,33,109,18,4.18,7.44,1.82,2.96,5.04,2004,TE
Ronnie Ghent,Louisville,74.5,248,27.5,103,11,4.5,7.47,1.74,2.9,4.99,2004,TE
Ben Hartsock,Ohio State,76,263,35,117,23,3.98,7.1,1.67,2.8,4.82,2004,TE
Sean McHugh,Penn State,77.125,264,29,115,18,4.09,7.36,1.75,2.94,4.97,2004,TE
Jason Peters,Arkansas,76.5,336,29,115,21,4.75,7.7,1.73,2.91,4.94,2004,TE
Brett Pierce,Stanford,77.5,250,27,103,19,4.37,7.13,1.75,2.89,4.96,2004,TE
Sean Ryan,Boston College,76.5,268,32.5,115,22,,,,,,2004,TE
Ben Troupe,Florida,76.375,265,,,,,,,,,2004,TE
Ben Utecht,Minnesota,78.125,249,,,,,,,,,2004,TE
Mike Walker,Minnesota-Morris,76,254,30,106,19,4.35,7.51,1.68,2.79,4.81,2004,TE
Benjamin Watson,Georgia,75.5,258,35.5,123,34,4.11,7.38,1.61,2.68,4.53,2004,TE
Keith Willis,Virginia Tech,77.75,260,,114,21,4.44,7.33,1.71,2.87,4.97,2004,TE
Kris Wilson,Pittsburgh,73.875,248,35,119,24,4.1,6.88,1.58,2.68,4.61,2004,TE
"Kellen Winslow, Jr.",Miami (FL),75.875,247,,120,24,,,,,,2004,TE
Billy Bajema,Oklahoma State,76.875,261,31.5,113,16,4.25,7.05,1.66,2.79,4.8,2005,TE
Adam Bergen,Lehigh,76.375,265,38,121,25,4.1,7.11,1.74,2.85,4.87,2005,TE
Jerome Collins,Notre Dame,76.25,267,,118,21,,,1.68,2.79,4.75,2005,TE
Jonas Crafts,Texas-El Paso,74.875,247,,,24,,,,,,2005,TE
Tony Curtis,Portland State,77.375,269,,115,21,,,1.73,2.89,4.98,2005,TE
Joel Dreessen,Colorado State,76.25,260,36,113,22,4.01,7.09,1.73,2.82,4.81,2005,TE
Kevin Everett,Miami (FL),76.625,241,,,,,,,,,2005,TE
Kelly Griffeth,Fort Hays State,77.25,284,28,103,21,4.27,7.25,1.73,2.85,4.95,2005,TE
Alex Holmes,Southern California,73.75,265,,,18,,,,,,2005,TE
Tony Jackson,Iowa,74,266,33,113,23,4.48,7.5,1.69,2.8,4.8,2005,TE
Matt Jones,Arkansas,78.25,242,39.5,129,,,,1.55,2.54,4.37,2005,TE
Dave Kashetta,Boston College,75.375,247,35.5,113,17,4.34,7.34,1.74,2.89,4.93,2005,TE
Heath Miller,Virginia,77,256,,,,,,,,,2005,TE
Bo Scaife,Texas,74.625,249,32.5,114,24,4.12,7.21,1.67,2.77,4.82,2005,TE
Alex Smith,Stanford,76.125,258,,,28,,,,,,2005,TE
Troy Bienemann,Washington State,76.625,256,,,,,,,,,2006,TE
Dominique Byrd,Southern California,74.625,255,,,,,,,,,2006,TE
Owen Daniels,Wisconsin,75.375,253,34.5,114,23,4.1,6.87,1.61,2.71,4.67,2006,TE
Charles Davis,Purdue,77.5,263,31.5,108,27,4.37,7.53,1.69,2.86,4.91,2006,TE
Vernon Davis,Maryland,75.25,254,42,128,33,4.17,7,1.52,2.56,4.4,2006,TE
Tim Day,Oregon,75.25,256,35,109,24,4.2,7.03,1.56,2.69,4.74,2006,TE
Anthony Fasano,Notre Dame,76.125,259,33.5,112,19,4.34,6.94,,,,2006,TE
Daniel Fells,California-Davis,75.375,259,29.5,108,19,4.46,7.27,1.71,2.86,4.95,2006,TE
Matt Henshaw,Florida State,76.375,248,29,111,16,4.44,7.44,1.63,2.76,4.76,2006,TE
Jeff King,Virginia Tech,77.125,245,32.5,109,21,4.09,6.99,1.66,2.79,4.87,2006,TE
Joe Klopfenstein,Colorado,77.75,255,36,112,27,4.21,7.39,1.58,2.67,4.65,2006,TE
Marcedes Lewis,UCLA,78.375,261,37,118,23,4.82,7.24,1.67,2.82,4.84,2006,TE
Tim Massaquoi,Michigan,74.625,259,,,32,,,,,,2006,TE
Jason Pociask,Wisconsin,75,266,32.5,115,23,4.3,7.31,1.73,2.86,4.89,2006,TE
Leonard Pope,Georgia,79.75,258,37.5,118,22,4.67,7.47,1.6,2.71,4.65,2006,TE
Tony Scheffler,Western Michigan,77.375,254,33.5,115,17,4.01,6.81,1.64,2.71,4.6,2006,TE
Quinn Sypniewski,Colorado,78.5,268,32.5,114,20,4.52,7.09,1.64,2.78,4.81,2006,TE
David Thomas,Texas,75.125,252,37.5,113,19,4.34,7.05,1.64,2.73,4.73,2006,TE
Cooper Wallace,Auburn,75.625,261,29,105,21,4.21,7.29,1.69,2.83,4.83,2006,TE
T.J. Williams,North Carolina State,74.375,269,34,111,25,4.54,7.49,1.66,2.76,4.75,2006,TE
Michael Allan,Whitworth,78.125,255,36,123,19,4.52,7.31,1.68,2.74,4.71,2007,TE
Kevin Boss,Western Oregon,78.5,252,35,116,,4.41,6.96,1.67,2.81,4.78,2007,TE
Scott Chandler,Iowa,79,270,30,111,16,4.32,7.26,1.73,2.84,4.87,2007,TE
Daniel Coats,Brigham Young,74.625,257,30,111,34,4.43,7.07,1.73,2.87,4.99,2007,TE
Jonny Harline,Brigham Young,75.75,248,28.5,106,15,4.68,7.05,1.7,2.83,4.86,2007,TE
Clark Harris,Rutgers,77.5,261,32,112,21,4.4,,1.7,2.81,4.83,2007,TE
Zach Miller,Arizona State,76.375,256,34,115,,4.42,7.01,1.68,2.83,4.86,2007,TE
Martrez Milner,Georgia,75.875,252,34,117,19,4.49,7.35,1.68,2.81,4.82,2007,TE
Joe Newton,Oregon State,79.125,257,31,109,20,4.57,7.35,1.69,2.84,4.92,2007,TE
Greg Olsen,Miami (FL),77.875,254,35.5,114,23,4.48,7.04,1.62,2.66,4.55,2007,TE
Ben Patrick,Delaware,75.125,252,34.5,111,,4.31,7.21,1.62,2.74,4.76,2007,TE
Anthony Pudewell,Nevada,76,250,25.5,101,15,4.41,7.31,1.82,2.99,5.12,2007,TE
Dante Rosario,Oregon,75.25,244,36,115,20,4.47,6.96,1.73,2.8,4.88,2007,TE
Matt Spaeth,Minnesota,79.125,270,,,,,,,,,2007,TE
Chad Upshaw,Buffalo,76.375,252,33.5,108,16,4.58,7.23,1.74,2.88,4.99,2007,TE
Gary Barnidge,Louisville,77.625,243,31,117,22,4.23,6.92,1.53,2.62,4.65,2008,TE
Martellus Bennett,Texas AM,78.125,259,34,118,18,4.53,7.64,1.53,2.67,4.68,2008,TE
Adam Bishop,Nevada,76.875,248,27,113,21,4.28,7.14,1.69,2.88,4.98,2008,TE
John Carlson,Notre Dame,77.125,251,30.5,113,20,4.28,7.12,1.67,2.83,4.88,2008,TE
Brad Cottam,Tennessee,79.5,270,33,,24,,,1.57,2.61,4.63,2008,TE
Fred Davis,Southern California,75,255,,,24,,,,,,2008,TE
Kellen Davis,Michigan State,78.5,262,28,118,22,4.38,7.25,1.59,2.68,4.6,2008,TE
Derek Fine,Kansas,74.625,251,29,115,24,4.19,6.8,1.65,2.78,4.85,2008,TE
Joe Jon Finley,Colorado,78.25,254,,,22,,,,,,2008,TE
Jermichael Finley,Texas,76.5,243,27.5,117,20,4.38,7.15,1.66,2.79,4.82,2008,TE
Joey Haynos,Maryland,79.625,259,30.5,123,17,4.42,6.92,1.62,2.77,4.87,2008,TE
Kolo Kapanui,West Texas AM,75.375,271,26.5,107,23,4.66,7.42,1.75,2.91,5.06,2008,TE
Dustin Keller,Purdue,74.125,242,38,131,26,4.14,6.88,1.63,2.65,4.55,2008,TE
Evan Moore,Stanford,78,233,27,110,16,4.43,7.08,1.59,2.73,4.74,2008,TE
Martin Rucker,Missouri,76.875,251,,,20,,,,,,2008,TE
Tom Santi,Virginia,75.5,250,36,121,14,4.27,7.08,1.71,2.82,4.83,2008,TE
Craig Stevens,California,75.25,254,27.5,114,27,4.31,7.07,1.56,2.64,4.59,2008,TE
Darrell Strong,Pittsburgh,76,268,25,110,17,4.36,6.86,1.67,2.8,4.84,2008,TE
Jacob Tamme,Kentucky,75.5,236,30,109,18,4.27,6.99,1.56,2.62,4.58,2008,TE
Travis Beckum,Wisconsin,75,243,,,28,,,,,,2009,TE
Jared Bronson,Central Washington,75.875,253,32.5,116,,4.33,7.15,1.72,2.81,4.76,2009,TE
Chase Coffman,Missouri,77.75,244,,,,,,,,,2009,TE
Davon Drew,East Carolina,75.75,256,29.5,113,17,4.56,7.28,1.73,2.82,4.85,2009,TE
Dan Gronkowski,Maryland,77.5,255,33,122,26,4.26,6.92,1.64,2.77,4.8,2009,TE
Anthony Hill,North Carolina State,77,262,30.5,107,21,4.56,7.31,1.72,2.8,4.84,2009,TE
Cornelius Ingram,Florida,75.875,245,33,,21,4.53,7.12,1.63,2.71,4.68,2009,TE
Cameron Morrah,California,75.375,244,32.5,115,24,4.36,6.99,1.67,2.72,4.66,2009,TE
Shawn Nelson,Southern Miss,77,240,33,115,19,4.46,6.96,1.66,2.65,4.56,2009,TE
Bear Pascoe,Fresno State,77.125,251,26.5,107,,4.55,7.65,1.8,2.92,5.04,2009,TE
Brandon Pettigrew,Oklahoma State,77.375,263,33,118,22,4.37,7.12,1.76,2.87,4.86,2009,TE
John Phillips,Virginia,77.375,251,33.5,112,20,4.27,6.84,1.73,2.85,4.84,2009,TE
Richard Quinn,North Carolina,75.875,264,32.5,119,24,4.62,7.5,1.78,2.89,4.98,2009,TE
Kory Sperry,Colorado State,76.75,238,33.5,122,20,4.24,7,1.69,2.79,4.77,2009,TE
Nate Byham,Pittsburgh,75.875,268,29,109,,,,1.74,2.93,5.04,2010,TE
Dorin Dickerson,Pittsburgh,73.375,226,43.5,125,24,4.3,6.96,1.53,2.55,4.4,2010,TE
Ed Dickson,Oregon,76.25,249,34,115,23,4.59,7.32,1.65,2.74,4.67,2010,TE
Jim Dray,Stanford,76.75,246,,,17,,,,,,2010,TE
Brody Eldridge,Oklahoma,76.75,261,31.5,,,,,,,,2010,TE
Dedrick Epps,Miami (FL),75.375,250,,,19,,,,,,2010,TE
Garrett Graham,Wisconsin,75.125,243,34.5,112,20,4.35,7.09,1.71,2.82,4.78,2010,TE
Jimmy Graham,Miami (FL),78.25,260,38.5,120,,4.45,6.9,1.58,2.66,4.56,2010,TE
Jermaine Gresham,Oklahoma,77.25,261,35,113,20,4.53,7.07,1.63,2.74,4.72,2010,TE
Rob Gronkowski,Arizona,78.25,264,,,23,,,,,,2010,TE
Aaron Hernandez,Florida,74.375,245,,,,,,,,,2010,TE
Michael Hoomanawanui,Illinois,75.625,264,,,25,,,,,,2010,TE
Jeron Mastrud,Kansas State,77.375,256,,,,,,,,,2010,TE
Anthony McCoy,Southern California,76.5,259,35.5,113,19,4.57,6.99,1.67,2.81,4.78,2010,TE
Tony Moeaki,Iowa,75,245,34,113,18,4.42,7.1,1.6,2.71,4.69,2010,TE
Colin Peek,Alabama,77.25,254,,,19,,,,,,2010,TE
Dennis Pitta,Brigham Young,76.5,245,34,113,27,4.17,6.72,1.64,2.76,4.72,2010,TE
Andrew Quarless,Penn State,76.375,254,32,112,23,,,1.7,2.8,4.69,2010,TE
Jordan Cameron,Southern California,77.25,254,37.5,119,23,4.03,6.82,1.58,2.66,4.59,2011,TE
Charlie Gantt,Michigan State,76,252,30.5,112,27,4.4,7.15,1.73,2.88,4.93,2011,TE
Cameron Graham,Louisville,75.125,244,31,105,18,4.51,7.19,1.79,2.96,5.11,2011,TE
Virgil Green,Nevada,75.375,249,42.5,130,23,4.4,6.9,1.62,2.72,4.64,2011,TE
Daniel Hardy,Idaho,75.75,249,,,18,,,,,,2011,TE
Rob Housler,Florida Atlantic,77.375,248,37,117,22,4.21,6.9,1.58,2.67,4.55,2011,TE
Lance Kendricks,Wisconsin,74.875,243,34.5,122,25,4.15,6.94,1.69,2.77,4.75,2011,TE
Schuylar Oordt,Northern Iowa,77.75,261,36,119,18,4.25,6.83,1.64,2.74,4.67,2011,TE
Zack Pianalto,Michigan State,75.25,256,32,108,22,4.41,6.85,1.74,2.86,4.87,2011,TE
Kyle Rudolph,Notre Dame,78.125,259,,,,,,,,,2011,TE
Weslye Saunders,South Carolina,77.125,270,33.5,116,19,,,,,,2011,TE
Lee Smith,Marshall,77.75,266,29,108,25,4.28,7.13,1.76,2.91,5.01,2011,TE
Luke Stocker,Tennessee,76.75,258,33,115,27,4.4,7.03,1.69,2.79,4.79,2011,TE
Julius Thomas,Portland State,76.625,246,35.5,111,16,4.31,6.96,1.64,2.74,4.68,2011,TE
D.J. Williams,Arkansas,74.125,245,33.5,111,20,4.51,7.29,1.62,2.72,4.67,2011,TE
Dwayne Allen,Clemson,75.125,255,32,110,27,4.37,7.12,1.73,2.85,4.89,2012,TE
Orson Charles,Georgia,74.5,251,,,35,,,,,,2012,TE
Michael Egnew,Missouri,77.125,252,36,131,21,4.32,7.03,1.66,2.73,4.62,2012,TE
Rhett Ellison,Southern California,76.875,251,31.5,109,,,,1.71,2.87,4.88,2012,TE
Coby Fleener,Stanford,78,247,,,27,,,,,,2012,TE
Ladarius Green,Louisiana,77.75,238,34.5,124,16,4.47,7.12,1.62,2.65,4.56,2012,TE
James Hanna,Oklahoma,75.75,252,36,122,24,4.11,6.76,1.57,2.67,4.49,2012,TE
Cory Harkey,UCLA,76,260,26.5,109,13,4.69,7.4,1.79,2.96,5.14,2012,TE
David Paulson,Oregon,75.25,246,32,110,21,4.4,7.18,1.8,2.97,4.93,2012,TE
DeAngelo Peterson,LSU,75,243,36,121,18,,7.19,1.65,2.71,4.76,2012,TE
Nick Provo,Syracuse,75.25,237,,,,,,,,,2012,TE
Beau Reliford,Florida State,77.125,256,,,,,,,,,2012,TE
